	 its 	 r 	 ds 	 Newton iteration 	 flag 	 tol 	 residual 	 F(u;r) 	 iterations needed 
   1 	 0.4935541965 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.000006004691 	 --- 
   1 	0.4935534579 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00094449 	 0.000006182428 	 30.0 
   1 	0.4935534946 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00038016 	 0.000003814339 	 90.0 
   1 	0.4935535040 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00078395 	 0.000002428052 	 151.0 
   1 	0.4935534733 	 0.0100000000 	    4 	    0 	 0.00100000	 0.00091911 	 0.000000246043 	 221.0 
   1 	0.4935534618 	 0.0100000000 	    5 	    0 	 0.00100000	 0.00091731 	 0.000000385763 	 284.0 
   1 	0.4935534545 	 0.0100000000 	    6 	    0 	 0.00100000	 0.00072498 	 0.000000034683 	 354.0 
   1 	0.4935534518 	 0.0100000000 	    7 	    0 	 0.00100000	 0.00059911 	 0.000000107886 	 418.0 
   1 	0.4935534504 	 0.0100000000 	    8 	    0 	 0.00100000	 0.00068928 	 0.000000011159 	 492.0 
   1 	0.4935534499 	 0.0100000000 	    9 	    0 	 0.00100000	 0.00093965 	 0.000000014963 	 557.0 
   1 	0.4935534489 	 0.0100000000 	   10 	    0 	 0.00100000	 0.00026155 	 0.000000031189 	 650.0 
   1 	0.4935534491 	 0.0100000000 	   11 	    0 	 0.00100000	 0.00004387 	 0.000000000096 	 656.0 
   2 	 0.4935534491 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.341752683988 	 --- 
   2 	0.4842632063 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000524 	 0.001438969885 	  3.0 
   2 	0.4843171597 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00001969 	 0.000000213796 	  7.0 
   2 	0.4843171596 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00049797 	 0.000000000102 	 17.0 
   3 	 0.4777766775 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058955064362 	 --- 
   3 	0.4782019159 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000162 	 0.000300596663 	  4.0 
   3 	0.4782064314 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00046638 	 0.000000140621 	  9.0 
   3 	0.4782064315 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00065380 	 0.000000000429 	 19.0 
   4 	 0.4716523511 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058772703441 	 --- 
   4 	0.4720807884 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000159 	 0.000300026126 	  4.0 
   4 	0.4720852668 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00044543 	 0.000000133385 	  9.0 
   4 	0.4720852669 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00040022 	 0.000000000372 	 20.0 
   5 	 0.4655204233 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058751839070 	 --- 
   5 	0.4659493267 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00001369 	 0.000299927190 	  4.0 
   5 	0.4659537806 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00041940 	 0.000000126309 	 10.0 
   5 	0.4659537806 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00084678 	 0.000000000619 	 20.0 
   6 	 0.4593782184 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058730701240 	 --- 
   6 	0.4598075796 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000150 	 0.000299826296 	  4.0 
   6 	0.4598120090 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00040156 	 0.000000121012 	  9.0 
   6 	0.4598120091 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00025034 	 0.000000000105 	 19.0 
   7 	 0.4532257728 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058709297200 	 --- 
   7 	0.4536555834 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000147 	 0.000299723468 	  4.0 
   7 	0.4536599885 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00046212 	 0.000000121674 	  8.0 
   7 	0.4536599886 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00025097 	 0.000000000347 	 20.0 
   8 	 0.4470631225 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058687630080 	 --- 
   8 	0.4474933744 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000143 	 0.000299618732 	  4.0 
   8 	0.4474977553 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00039458 	 0.000000118796 	  8.0 
   8 	0.4474977553 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00073143 	 0.000000000505 	 18.0 
   9 	 0.4408903037 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058665703055 	 --- 
   9 	0.4413209885 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000140 	 0.000299512111 	  4.0 
   9 	0.4413253454 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00038512 	 0.000000116070 	  8.0 
   9 	0.4413253455 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00043032 	 0.000000000150 	 20.0 
  10 	 0.4347073524 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058643519258 	 --- 
  10 	0.4351384620 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000137 	 0.000299403629 	  4.0 
  10 	0.4351427950 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00037608 	 0.000000113301 	  8.0 
  10 	0.4351427951 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00062017 	 0.000000000266 	 19.0 
  11 	 0.4285143045 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058621081769 	 --- 
  11 	0.4289458308 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000133 	 0.000299293308 	  4.0 
  11 	0.4289501400 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00036728 	 0.000000110682 	  8.0 
  11 	0.4289501401 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00094517 	 0.000000000395 	 19.0 
  12 	 0.4223111958 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058598393685 	 --- 
  12 	0.4227431307 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000130 	 0.000299181170 	  4.0 
  12 	0.4227474163 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00035873 	 0.000000108155 	  8.0 
  12 	0.4227474164 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00041844 	 0.000000000353 	 20.0 
  13 	 0.4160980621 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058575458050 	 --- 
  13 	0.4165303975 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000127 	 0.000299067238 	  4.0 
  13 	0.4165346597 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00035051 	 0.000000105619 	  8.0 
  13 	0.4165346598 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00090741 	 0.000000000422 	 18.0 
  14 	 0.4098749391 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058552277921 	 --- 
  14 	0.4103076671 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000124 	 0.000298951534 	  4.0 
  14 	0.4103119059 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00034425 	 0.000000103260 	  8.0 
  14 	0.4103119060 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00044763 	 0.000000000231 	 18.0 
  15 	 0.4036418622 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058528856287 	 --- 
  15 	0.4040749749 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000121 	 0.000298834080 	  4.0 
  15 	0.4040791905 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00033449 	 0.000000100844 	  8.0 
  15 	0.4040791906 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00067806 	 0.000000000309 	 18.0 
  16 	 0.3973988670 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058505196158 	 --- 
  16 	0.3978323565 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000119 	 0.000298714898 	  4.0 
  16 	0.3978365492 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00068538 	 0.000000099106 	  8.0 
  16 	0.3978365491 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00056869 	 0.000000000605 	 19.0 
  17 	 0.3911459889 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058481300491 	 --- 
  17 	0.3915798473 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000116 	 0.000298594009 	  4.0 
  17 	0.3915840170 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00039242 	 0.000000096455 	  8.0 
  17 	0.3915840170 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00024497 	 0.000000000116 	 21.0 
  18 	 0.3848832632 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058457172232 	 --- 
  18 	0.3853174828 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000113 	 0.000298471435 	  4.0 
  18 	0.3853216297 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00031206 	 0.000000094138 	  8.0 
  18 	0.3853216297 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00073546 	 0.000000000238 	 18.0 
  19 	 0.3786107250 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058432814308 	 --- 
  19 	0.3790452980 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000110 	 0.000298347197 	  4.0 
  19 	0.3790494223 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00031498 	 0.000000095124 	  9.0 
  19 	0.3790494223 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00097139 	 0.000000000453 	 21.0 
  20 	 0.3723284095 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058408229617 	 --- 
  20 	0.3727633281 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00007740 	 0.000298221339 	  4.0 
  20 	0.3727674301 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00030149 	 0.000000091149 	 10.0 
  20 	0.3727674301 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00091105 	 0.000000000428 	 23.0 
  21 	 0.3660363517 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058383421034 	 --- 
  21 	0.3664716087 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000105 	 0.000298093814 	  4.0 
  21 	0.3664756881 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00028505 	 0.000000086202 	  9.0 
  21 	0.3664756881 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00066434 	 0.000000000120 	 22.0 
  22 	 0.3597345865 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058358391419 	 --- 
  22 	0.3601701741 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000103 	 0.000297964711 	  4.0 
  22 	0.3601742312 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00028478 	 0.000000086014 	  8.0 
  22 	0.3601742313 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00091451 	 0.000000000306 	 19.0 
  23 	 0.3534231487 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058333143604 	 --- 
  23 	0.3538590594 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000100 	 0.000297834028 	  4.0 
  23 	0.3538630945 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00027800 	 0.000000084151 	  8.0 
  23 	0.3538630945 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00052733 	 0.000000000194 	 23.0 
  24 	 0.3471020732 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058307680398 	 --- 
  24 	0.3475382995 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000098 	 0.000297701786 	  4.0 
  24 	0.3475423126 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00027169 	 0.000000082242 	  8.0 
  24 	0.3475423126 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00093260 	 0.000000000172 	 17.0 
  25 	 0.3407713944 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058282004593 	 --- 
  25 	0.3412079289 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000095 	 0.000297568004 	  4.0 
  25 	0.3412119202 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00028237 	 0.000000080467 	  8.0 
  25 	0.3412119202 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00051010 	 0.000000000108 	 21.0 
  26 	 0.3344311470 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058256118946 	 --- 
  26 	0.3348679824 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000093 	 0.000297432703 	  4.0 
  26 	0.3348719519 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00026321 	 0.000000078665 	  8.0 
  26 	0.3348719519 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00082095 	 0.000000000131 	 18.0 
  27 	 0.3280813654 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058230026214 	 --- 
  27 	0.3285184943 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000091 	 0.000297295903 	  4.0 
  27 	0.3285224423 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00026953 	 0.000000076956 	  8.0 
  27 	0.3285224423 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00077980 	 0.000000000124 	 20.0 
  28 	 0.3217220840 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058203729108 	 --- 
  28 	0.3221594992 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000088 	 0.000297157624 	  4.0 
  28 	0.3221634257 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00025451 	 0.000000077277 	  9.0 
  28 	0.3221634257 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00070229 	 0.000000000200 	 22.0 
  29 	 0.3153533370 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058177230334 	 --- 
  29 	0.3157910312 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00003150 	 0.000297017897 	  4.0 
  29 	0.3157949365 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00024084 	 0.000000073215 	 10.0 
  29 	0.3157949365 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00071195 	 0.000000000203 	 23.0 
  30 	 0.3089751585 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058150532565 	 --- 
  30 	0.3094131247 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000084 	 0.000296876707 	  4.0 
  30 	0.3094170088 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00050772 	 0.000000072065 	  8.0 
  30 	0.3094170087 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00063095 	 0.000000000411 	 17.0 
  31 	 0.3025875827 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058123638460 	 --- 
  31 	0.3030258137 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000082 	 0.000296734107 	  4.0 
  31 	0.3030296767 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00023133 	 0.000000070520 	  8.0 
  31 	0.3030296767 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00002609 	 0.000000000101 	 23.0 
  32 	 0.2961906434 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058096550650 	 --- 
  32 	0.2966291322 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000080 	 0.000296590107 	  4.0 
  32 	0.2966329742 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00022605 	 0.000000068923 	  8.0 
  32 	0.2966329742 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00099172 	 0.000000000268 	 16.0 
  33 	 0.2897843745 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058069271747 	 --- 
  33 	0.2902231141 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000078 	 0.000296444723 	  4.0 
  33 	0.2902269353 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00023446 	 0.000000071603 	  9.0 
  33 	0.2902269353 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00028507 	 0.000000000121 	 19.0 
  34 	 0.2833688098 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058041804345 	 --- 
  34 	0.2838077932 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000077 	 0.000296297977 	  4.0 
  34 	0.2838115938 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00022202 	 0.000000067858 	  9.0 
  34 	0.2838115938 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00093068 	 0.000000000159 	 18.0 
  35 	 0.2769439830 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.058014151006 	 --- 
  35 	0.2773832033 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000660 	 0.000296149886 	  4.0 
  35 	0.2773869833 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00020937 	 0.000000064154 	 10.0 
  35 	0.2773869833 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00065836 	 0.000000000206 	 21.0 
  36 	 0.2705099275 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057986314275 	 --- 
  36 	0.2709493780 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000071 	 0.000296000467 	  4.0 
  36 	0.2709531375 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00021715 	 0.000000063204 	  8.0 
  36 	0.2709531375 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00089347 	 0.000000000371 	 17.0 
  37 	 0.2640666769 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057958296687 	 --- 
  37 	0.2645063506 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000069 	 0.000295849741 	  4.0 
  37 	0.2645100899 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00020121 	 0.000000061874 	  8.0 
  37 	0.2645100899 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00006610 	 0.000000000100 	 21.0 
  38 	 0.2576142645 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057930100736 	 --- 
  38 	0.2580541548 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000067 	 0.000295697726 	  4.0 
  38 	0.2580578739 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00019652 	 0.000000060495 	  8.0 
  38 	0.2580578739 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00094238 	 0.000000000233 	 14.0 
  39 	 0.2511527235 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057901728907 	 --- 
  39 	0.2515928237 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000065 	 0.000295544439 	  4.0 
  39 	0.2515965227 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00019192 	 0.000000059250 	  8.0 
  39 	0.2515965227 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00075742 	 0.000000000218 	 16.0 
  40 	 0.2446820871 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057873183663 	 --- 
  40 	0.2451223905 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000063 	 0.000295389898 	  4.0 
  40 	0.2451260696 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00018741 	 0.000000057972 	  8.0 
  40 	0.2451260696 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00084698 	 0.000000000139 	 17.0 
  41 	 0.2382023883 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057844467437 	 --- 
  41 	0.2386428884 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000061 	 0.000295234121 	  4.0 
  41 	0.2386465477 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00018297 	 0.000000056744 	  8.0 
  41 	0.2386465477 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00045476 	 0.000000000111 	 19.0 
  42 	 0.2317136601 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057815582651 	 --- 
  42 	0.2321543503 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000060 	 0.000295077126 	  4.0 
  42 	0.2321579899 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00017860 	 0.000000055501 	  8.0 
  42 	0.2321579899 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00075430 	 0.000000000108 	 16.0 
  43 	 0.2252159353 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057786531704 	 --- 
  43 	0.2256568092 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000058 	 0.000294918930 	  4.0 
  43 	0.2256604292 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00017431 	 0.000000054331 	  8.0 
  43 	0.2256604292 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00088936 	 0.000000000200 	 18.0 
  44 	 0.2187092467 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057757316966 	 --- 
  44 	0.2191502977 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000056 	 0.000294759550 	  4.0 
  44 	0.2191538983 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00017009 	 0.000000053184 	  8.0 
  44 	0.2191538983 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00042020 	 0.000000000202 	 19.0 
  45 	 0.2121936268 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057727940798 	 --- 
  45 	0.2126348487 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000054 	 0.000294599004 	  4.0 
  45 	0.2126384300 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00016592 	 0.000000052040 	  8.0 
  45 	0.2126384300 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00071179 	 0.000000000100 	 16.0 
  46 	 0.2056691083 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057698405530 	 --- 
  46 	0.2061104946 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000052 	 0.000294437308 	  4.0 
  46 	0.2061140567 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00016182 	 0.000000050949 	  8.0 
  46 	0.2061140567 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00094926 	 0.000000000204 	 18.0 
  47 	 0.1991357235 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057668713476 	 --- 
  47 	0.1995772680 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000050 	 0.000294274480 	  4.0 
  47 	0.1995808111 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00090370 	 0.000000050266 	  8.0 
  47 	0.1995808110 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00061398 	 0.000000001010 	 16.0 
  47 	0.1995808107 	 0.0100000000 	    4 	    0 	 0.00100000	 0.00059010 	 0.000000128498 	 79.0 
  47 	0.1995808108 	 0.0100000000 	    5 	    0 	 0.00100000	 0.00001006 	 0.000000000204 	 85.0 
  48 	 0.1925935148 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057638767238 	 --- 
  48 	0.1930352108 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000487 	 0.000294109609 	  4.0 
  48 	0.1930387348 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00042727 	 0.000000032993 	  9.0 
  48 	0.1930387348 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00099437 	 0.000000000762 	 17.0 
  49 	 0.1860424937 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057608866989 	 --- 
  49 	0.1864843361 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000030 	 0.000293945485 	  4.0 
  49 	0.1864878413 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00012028 	 0.000000031555 	  8.0 
  49 	0.1864878413 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00097857 	 0.000000000143 	 18.0 
  50 	 0.1794827036 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057578719347 	 --- 
  50 	0.1799246857 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000029 	 0.000293779362 	  4.0 
  50 	0.1799281721 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00011128 	 0.000000030476 	  8.0 
  50 	0.1799281721 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00044753 	 0.000000000123 	 18.0 
  51 	 0.1729141759 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057548422896 	 --- 
  51 	0.1733562916 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000028 	 0.000293612168 	  4.0 
  51 	0.1733597594 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00038888 	 0.000000029841 	  8.0 
  51 	0.1733597594 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00037902 	 0.000000000234 	 17.0 
  52 	 0.1663369424 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057517980898 	 --- 
  52 	0.1667791857 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000028 	 0.000293443922 	  4.0 
  52 	0.1667826350 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00010141 	 0.000000029001 	  9.0 
  52 	0.1667826350 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00093925 	 0.000000000121 	 19.0 
  53 	 0.1597510351 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057487395564 	 --- 
  53 	0.1601933999 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000025 	 0.000293274642 	  4.0 
  53 	0.1601968308 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00008747 	 0.000000028597 	  8.0 
  53 	0.1601968308 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00024506 	 0.000000000093 	 20.0 
  54 	 0.1531564854 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057456669065 	 --- 
  54 	0.1535989659 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000024 	 0.000293104342 	  4.0 
  54 	0.1536023785 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00008499 	 0.000000027968 	  8.0 
  54 	0.1536023785 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00058893 	 0.000000000194 	 15.0 
  55 	 0.1465533251 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057425803553 	 --- 
  55 	0.1469959154 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000023 	 0.000292933038 	  4.0 
  55 	0.1469993099 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00008251 	 0.000000027401 	  8.0 
  55 	0.1469993099 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00063594 	 0.000000000200 	 16.0 
  56 	 0.1399415857 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057394801158 	 --- 
  56 	0.1403842799 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000022 	 0.000292760746 	  4.0 
  56 	0.1403876563 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00008004 	 0.000000026838 	  8.0 
  56 	0.1403876563 	 0.0100000000 	    3 	    0 	 0.00100000	 0.00058045 	 0.000000000353 	 17.0 
  57 	 0.1333212984 	 0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.057363663992 	 --- 
  57 	0.1337640908 	 0.0100000000 	    1 	    0 	 0.00100000	 0.00000021 	 0.000292587482 	  4.0 
  57 	0.1337674493 	 0.0100000000 	    2 	    0 	 0.00100000	 0.00007755 	 0.000000026273 	  8.0 
