	 its 	 r 	 ds 	 Newton iteration 	 flag 	 tol 	 residual 	 F(u;r) 	 iterations needed 
   1 	 -0.2210951813 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.000000131014 	 --- 
   1 	-0.2209700567 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00000871 	 0.000001612775 	  7.0 
   1 	-0.2209700583 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00032421 	 0.000000004978 	 12.0 
   1 	-0.2209700964 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00030827 	 0.000000000008 	 24.0 
   2 	 -0.2209700964 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.136597170015 	 --- 
   2 	-0.2207811033 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00041731 	 0.008246375632 	  5.0 
   2 	-0.2156625034 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00026583 	 0.002383180146 	 12.0 
   2 	-0.2156649098 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00036160 	 0.000021628551 	 17.0 
   2 	-0.2157245360 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00087654 	 0.000000495425 	 25.0 
   2 	-0.2157245364 	 -0.0100000000 	    5 	    0 	 0.00100000	 0.00049316 	 0.000000016331 	 32.0 
   2 	-0.2157245456 	 -0.0100000000 	    6 	    0 	 0.00100000	 0.00081393 	 0.000000000006 	 52.0 
   3 	 -0.2115051010 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.061793469936 	 --- 
   3 	-0.2115123781 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00014519 	 0.000364575968 	  6.0 
   3 	-0.2122366388 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000110 	 0.000043831708 	 15.0 
   3 	-0.2122366700 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00044899 	 0.000000092948 	 21.0 
   3 	-0.2122383762 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00040690 	 0.000000000278 	 31.0 
   4 	 -0.2080523443 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.061428435053 	 --- 
   4 	-0.2080593649 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00014280 	 0.000365960150 	  6.0 
   4 	-0.2087777640 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000133 	 0.000043151693 	 15.0 
   4 	-0.2087777947 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00044545 	 0.000000093657 	 21.0 
   4 	-0.2087794848 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00097146 	 0.000000000239 	 40.0 
   5 	 -0.2046204637 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.060993887893 	 --- 
   5 	-0.2046274067 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00014175 	 0.000365023181 	  6.0 
   5 	-0.2053453189 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000119 	 0.000043135081 	 15.0 
   5 	-0.2053453495 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00044229 	 0.000000095575 	 21.0 
   5 	-0.2053470501 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00053770 	 0.000000000263 	 45.0 
   6 	 -0.2012151986 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.060558016544 	 --- 
   6 	-0.2012220643 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00014070 	 0.000364064692 	  6.0 
   6 	-0.2019394606 	 -0.0100000000 	    2 	    0 	 0.00100000	 0.00000130 	 0.000043118294 	 15.0 
   6 	-0.2019394911 	 -0.0100000000 	    3 	    0 	 0.00100000	 0.00043916 	 0.000000097553 	 21.0 
   6 	-0.2019412023 	 -0.0100000000 	    4 	    0 	 0.00100000	 0.00095759 	 0.000000000391 	 44.0 
   7 	 -0.1978366830 	 -0.0100000000 	    0 	 -- 	 --- f	 --- 	 0.060120850948 	 --- 
   7 	-0.1978434716 	 -0.0100000000 	    1 	    0 	 0.00100000	 0.00013965 	 0.000363085555 	  6.0 
